title,organization,location,date,time,duration,datetime_iso,distance,opportunity_type,opportunity_url,opportunity_id,organization_url,scraped_at
Adult Pickleball Volunteer – Wednesday Afternoons,5-Eleven Hoops,"Long Beach, CA 90807",2/18/26,1:30 PM,2 hours,2026-02-18T13:30:00Z,21 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000AaGBHFMQ4,a0CQg0000AaGBHFMQ4,https://volunteer.laworks.com/organization/0013l00002MQHwlAAH,2026-02-11T17:58:26.747058
"Tutor Underserved Children ""Help a Child Learn""",Joseph Learning Lab,"Long Beach, CA 90755",Ongoing,,,2025-10-01T00:01:00Z,21 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg00008nVwBdMAK,a0CQg00008nVwBdMAK,https://volunteer.laworks.com/organization/001A000001SN7LzIAL,2026-02-11T17:58:26.761875
American Red Cross - Disaster Duty Officer - Long Beach and South Bay,American Red Cross Los Angeles Region,"Long Beach, CA 90806",Ongoing,,,2024-01-24T00:01:00Z,21 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg000016zymeMAA,a0CQg000016zymeMAA,https://volunteer.laworks.com/organization/001A000000a9b0aIAA,2026-02-11T17:58:26.775129
Christys Foundation Food Relief Program,Christys Foundation,"Los Angeles, CA 91324",2/12/26,10:00 AM,4 hours,2026-02-12T10:00:00Z,21 miles,Special Event,https://volunteer.laworks.com/opportunity/a0CQg00009JpvKXMAZ,a0CQg00009JpvKXMAZ,https://volunteer.laworks.com/organization/001Qg00000O1wc2IAB,2026-02-11T17:58:26.791584
Red Cross: Local Disaster Response Volunteer - Long Beach and South Bay,American Red Cross Los Angeles Region,"Long Beach, CA 90806",Ongoing,,,2024-01-24T00:01:00Z,21 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg000019MR3hMAG,a0CQg000019MR3hMAG,https://volunteer.laworks.com/organization/001A000000a9b0aIAA,2026-02-11T17:58:26.805357
Make Cards for Senior Citizens - Easy and Fun Kids or Adults - Joy Card Project,Joy Card Project - Make Cards for Seniors,Joy Card Project - Make Cards for Seniors (Virtual),Ongoing,,,2024-12-19T00:01:00Z,0 miles,Special Event,https://volunteer.laworks.com/opportunity/a0CQg00004k0t8PMAQ,a0CQg00004k0t8PMAQ,https://volunteer.laworks.com/organization/001Qg00000MbO8LIAV,2026-02-11T17:58:26.818398
Blood Drive Volunteer (No Blood Drawing) - Pomona,American Red Cross Los Angeles Region,"Pomona, CA 91768",Ongoing,,,2022-12-14T00:01:00Z,24 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0C3l00000r6VjfEAE,a0C3l00000r6VjfEAE,https://volunteer.laworks.com/organization/001A000000a9b0aIAA,2026-02-11T17:58:26.837519
Personal Shopper: Assist Clients in Selecting Items from Women's Center,Thaddeus Resource Center,"La Verne, CA 91750",Ongoing,,,2024-11-18T00:01:00Z,25 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg00004IaY51MAF,a0CQg00004IaY51MAF,https://volunteer.laworks.com/organization/001Qg000003lvdqIAA,2026-02-11T17:58:26.852234
Fight Food Waste at the Calabasas Farmers Market on Saturdays!,Food Forward,"Woodland Hills, CA 91302",Ongoing,,,2023-07-01T00:01:00Z,26 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0C3l00000u6HkyEAE,a0C3l00000u6HkyEAE,https://volunteer.laworks.com/organization/001A000000ixpvaIAA,2026-02-11T17:58:26.865674
Rooted in Earth. A Soil Day at Lopez Urban Farm 🌱🌳💧👩‍🌾🎬,Breathe Southern California (Breathe SoCal),"Pomona, CA 91766",2/28/26,8:30 AM,4 hours,2026-02-28T08:30:00Z,27 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000Ag7iNbMQI,a0CQg0000Ag7iNbMQI,https://volunteer.laworks.com/organization/001A000000a9akSIAQ,2026-02-11T17:58:26.894235
Restore Vital San Pedro Plant Habitat,Palos Verdes Peninsula Land Conservancy,"Los Angeles, CA 90731",2/22/26,9:00 AM,3 hours,2026-02-22T09:00:00Z,28 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000AYMJZfMQP,a0CQg0000AYMJZfMQP,https://volunteer.laworks.com/organization/001A000001FA9kmIAD,2026-02-11T17:58:26.910108
Elementary Art Facilitator Intern: Jan-May 2026,Million Little,"Santa Clarita, CA 91355",2/18/26,9:00 AM,7 hours,2026-02-18T09:00:00Z,30 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg00009O3pdAMAR,a0CQg00009O3pdAMAR,https://volunteer.laworks.com/organization/001Qg00000WLpt7IAD,2026-02-11T17:58:26.926347
"Support Red Cross Mobile Blood Drives - Volunteer! (Little Rock, CA)",American Red Cross Los Angeles Region,"Littlerock, CA 93543",Ongoing,,,2024-01-24T00:01:00Z,32 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg000016zxPfMAI,a0CQg000016zxPfMAI,https://volunteer.laworks.com/organization/001A000000a9b0aIAA,2026-02-11T17:58:26.940783
Be A Camp Counselor this Summer for Transgender/Gender Diverse Youth,The Laurel Foundation,"Big Bear Lake, CA 92314",6/27/26,8:00 AM,13 hours,2026-06-27T08:00:00Z,76 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg00001V59VLMAZ,a0CQg00001V59VLMAZ,https://volunteer.laworks.com/organization/001A000000a9abKIAQ,2026-02-11T17:58:26.956697
Online Volunteer Tutor For Grades 2-6 (No experience required),Step Up Tutoring,Virtual (Virtual),Ongoing,,,2023-09-15T00:01:00Z,0 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0C3l00000rUiftEAC,a0C3l00000rUiftEAC,https://volunteer.laworks.com/organization/0013l00002HeTSuAAN,2026-02-11T17:58:26.969980
Virtual Volunteer Tutor + Mentor For Grades 2-6 (No experience required),Step Up Tutoring,Virtual (Virtual),Ongoing,,,2023-09-15T00:01:00Z,0 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0C3l00000rUifeEAC,a0C3l00000rUifeEAC,https://volunteer.laworks.com/organization/0013l00002HeTSuAAN,2026-02-11T17:58:26.982889
Virtual Afternoon Volunteer Tutor For Grades 2-6 (No experience required),Step Up Tutoring,Virtual (Virtual),Ongoing,,,2023-09-15T00:01:00Z,0 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0C3l00000rUifoEAC,a0C3l00000rUifoEAC,https://volunteer.laworks.com/organization/0013l00002HeTSuAAN,2026-02-11T17:58:26.996445
Virtual Morning Volunteer Tutor + Mentor For Grades 2-6 (No experience required),Step Up Tutoring,Virtual (Virtual),Ongoing,,,2023-10-02T00:01:00Z,0 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0C3l00000rUifjEAC,a0C3l00000rUifjEAC,https://volunteer.laworks.com/organization/0013l00002HeTSuAAN,2026-02-11T17:58:27.010316
Email Newsletter Researcher/Copywriter,Senior Care Home Entertainment,,Ongoing,,,2020-07-31T00:01:00Z,,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0C3l00000iCjNfEAK,a0C3l00000iCjNfEAK,https://volunteer.laworks.com/organization/0013l00002H0ccUAAR,2026-02-11T17:58:27.025015
Disaster Response Program Lead- Glendale * Arcadia * Pomona * San Gabriel Valley,American Red Cross Los Angeles Region,,Ongoing,,,2022-12-21T00:01:00Z,,Special Event,https://volunteer.laworks.com/opportunity/a0C3l00000r6hRWEAY,a0C3l00000r6hRWEAY,https://volunteer.laworks.com/organization/001A000000a9b0aIAA,2026-02-11T17:58:27.039238
American Red Cross: Disaster Preparedness Instructor - San Gabriel Valley/Pomona,American Red Cross Los Angeles Region,,Ongoing,,,2022-12-28T00:01:00Z,,Special Event,https://volunteer.laworks.com/opportunity/a0C3l00000r6hPhEAI,a0C3l00000r6hPhEAI,https://volunteer.laworks.com/organization/001A000000a9b0aIAA,2026-02-11T17:58:27.052875
Empower Futures with Chrysalis in Downtown Los Angeles!,Chrysalis,,Ongoing,,,2026-01-27T00:01:00Z,,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000AunYAJMQ2,a0CQg0000AunYAJMQ2,https://volunteer.laworks.com/organization/001A000000a9aR7IAI,2026-02-11T17:58:27.065882
